Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
COAST MERIDIAN RD & VICTORIA DR,Casualty,PORT COQUITLAM,2018,2,49.285742,-122.756041
DIXON ST & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,2,49.265707,-122.786801
EASTERN DR & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,2,49.235637,-122.792125
GATELY AVE & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,2,49.266061,-122.785046
GRANT AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,2,49.270166,-122.775271
HARBOUR ST & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,2,49.23552,-122.770404
HAWKINS ST & NICOLA AVE,Casualty,PORT COQUITLAM,2018,2,49.255436,-122.738364
KELLY AVE & MARY HILL RD,Casualty,PORT COQUITLAM,2018,2,49.259074,-122.778591
KINGSWAY AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,2,49.264377,-122.779601
LANCASTER ST & LOUGHEED HWY,Casualty,PORT COQUITLAM,2018,2,49.272314,-122.787529
LANGAN AVE & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,2,49.250124,-122.772151
LOUGHEED HWY & LOUGHEED MERIDIAN RD & TURNING LANE,Casualty,PORT COQUITLAM,2018,2,49.261016,-122.760465
LOUGHEED HWY & MARY HILL BYPASS ONRAMP,Casualty,PORT COQUITLAM,2018,2,49.250523,-122.736081
LOUGHEED HWY & RALEIGH ST,Casualty,PORT COQUITLAM,2018,2,49.271662,-122.785996
NICOLA AVE & OTTAWA ST & MALL ACCESS,Casualty,PORT COQUITLAM,2018,2,49.257692,-122.746596
PITT RIVER RD & TYNER ST,Casualty,PORT COQUITLAM,2018,2,49.253771,-122.775295
SALISBURY AVE & SEFTON ST,Casualty,PORT COQUITLAM,2018,2,49.272399,-122.757613
APEL DR & COAST MERIDIAN RD,Casualty,PORT COQUITLAM,2018,3,49.281219,-122.756098
BIRCHLAND AVE & COAST MERIDIAN RD,Casualty,PORT COQUITLAM,2018,3,49.265595,-122.756104
BROWN ST & MCLEAN AVE,Casualty,PORT COQUITLAM,2018,3,49.253277,-122.76678
COAST MERIDIAN CONN & COAST MERIDIAN RD & LOUGHEED HWY & LOUGHEED MERIDIAN RD & ACCESS ROAD & INDUSTRIAL ACCESS ROAD & MALL ACCESS & TURNING LANE,Casualty,PORT COQUITLAM,2018,3,49.259745,-122.757788
COAST MERIDIAN RD & DORSET AVE,Casualty,PORT COQUITLAM,2018,3,49.273622,-122.756165
COAST MERIDIAN RD & LAURIER AVE,Casualty,PORT COQUITLAM,2018,3,49.274833,-122.756169
COAST MERIDIAN RD & ST ALBERT AVE,Casualty,PORT COQUITLAM,2018,3,49.263704,-122.756096
COAST MERIDIAN RD & WESTMINSTER AVE,Casualty,PORT COQUITLAM,2018,3,49.265121,-122.7561
COQUITLAM AVE & OXFORD ST,Casualty,PORT COQUITLAM,2018,3,49.267353,-122.767166
GORDON AVE & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,3,49.269908,-122.790609
KINGSWAY AVE & PORT COQUITLAM STATION & WILSON AVE,Casualty,PORT COQUITLAM,2018,3,49.260882,-122.775374
MARY HILL RD & PITT RIVER RD,Casualty,PORT COQUITLAM,2018,3,49.254054,-122.778535
PITT RIVER RD & REEVE ST,Casualty,PORT COQUITLAM,2018,3,49.254625,-122.787589
PRAIRIE AVE & WELLINGTON ST,Casualty,PORT COQUITLAM,2018,3,49.271164,-122.761659
ANSON AVE & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,4,49.277217,-122.790487
BROADWAY ST & INDUSTRIAL AVE,Casualty,PORT COQUITLAM,2018,4,49.245603,-122.762329
COAST MERIDIAN RD & LINCOLN AVE & LINCOLN DR,Casualty,PORT COQUITLAM,2018,4,49.278459,-122.756138
DAVIES AVE & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,4,49.269533,-122.790596
JANE ST & KINGSWAY AVE,Casualty,PORT COQUITLAM,2018,4,49.265532,-122.787666
KELLY AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,4,49.25906,-122.782725
KINGSWAY AVE & MARY HILL RD,Casualty,PORT COQUITLAM,2018,4,49.263275,-122.777156
LINCOLN AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,4,49.27848,-122.773157
LOUGHEED HWY & OXFORD CONN,Casualty,PORT COQUITLAM,2018,4,49.266263,-122.773739
MARY HILL RD & WILSON AVE,Casualty,PORT COQUITLAM,2018,4,49.260877,-122.778541
OTTAWA ST & RIVERSIDE DR,Casualty,PORT COQUITLAM,2018,4,49.260744,-122.746465
PRAIRIE AVE & ULSTER ST,Casualty,PORT COQUITLAM,2018,4,49.271193,-122.754534
ATKINS AVE & SHAUGHNESSY ST,Casualty,PORT COQUITLAM,2018,5,49.259956,-122.782708
COAST MERIDIAN OVERPASS & LOUGHEED HWY,Casualty,PORT COQUITLAM,2018,5,49.259073,-122.756527
COAST MERIDIAN RD & SALISBURY AVE,Casualty,PORT COQUITLAM,2018,5,49.272407,-122.756142
CRABBE AVE & KITCHENER AVE & WESTWOOD ST & WOODLAND DR,Casualty,PORT COQUITLAM,2018,5,49.275268,-122.790487
DEWDNEY TRUNK RD & WESTWOOD ST,Casualty,PORT COQUITLAM,2018,5,49.268044,-122.790638
DOMINION AVE & OTTAWA ST,Casualty,PORT COQUITLAM,2018,5,49.258378,-122.746596
